outlier	filename	TBM_AREA	TE+LUMEN_AREA	TUBULE_AREA	LUMEN_AREA	TE_AREA	NUCLEI_AREA	TUBULE_DIAMETER	LUMEN_DIAMETER	TE+LUMEN_DIAMETER	TBM_THICK_MAX	TBM_THICK_MIN	TBM_THICK_AVE	TBM_THICK_STD	TE_THICK_MAX	TE_THICK_MIN	TE_THICK_AVE	TE_THICK_STD	TUBULE_THICK_MAX	TUBULE_THICK_MIN	TUBULE_THICK_AVE	TUBULE_THICK_STD	LUMEN_THICK_MAX	LUMEN_THICK_MIN	LUMEN_THICK_AVE	LUMEN_THICK_STD	TE+LUMEN_THICK_MAX	TE+LUMEN_THICK_MIN	TE+LUMEN_THICK_AVE	TE+LUMEN_THICK_STD	LUMEN_SMOOTH_10	LUMEN_SMOOTH_15	LUMEN_SMOOTH_20	LUMEN_SMOOTH_30	TBM_SMOOTH_10	TBM_SMOOTH_15	TBM_SMOOTH_20	TBM_SMOOTH_30	TE+LUMEN_SMOOTH_10	TE+LUMEN_SMOOTH_15	TE+LUMEN_SMOOTH_20	TE+LUMEN_SMOOTH_30	TE+LUMEN_TBM_AREA_RATIO	TE_TBM_AREA_RATIO	LUMEN_TBM_AREA_RATIO	TBM_TUBULE_AREA_RATIO	TE+LUMEN_TUBULE_AREA_RATIO	LUMEN_TE+LUMEN_AREA_RATIO	TE_TE+LUMEN_AREA_RATIO	LUMEN_TUBULE_AREA_RATIO	TE_TUBULE_AREA_RATIO	LUMEN_TE_AREA_RATIO	LUMEN_DIAMETER_TBM_THICK_RATIO	TBM_THICK_TUBULE_DIAMETER_RATIO	TE+LUMEN_DIAMETER_TBM_THICK_RATIO	TE_TBM_THICK_RATIO	LUMEN_DIAMETER_TUBULE_DIAMETER_RATIO	LUMEN_DIAMETER_TE+LUMEN_DIAMETER_RATIO	LUMEN_DIAMETER_TE_THICK_RATIO	TE+LUMEN_DIAMETER_TUBULE_DIAMETER_RATIO	TE_THICK_TUBULE_DIAMETER_RATIO	TE_TE+LUMEN_DIAMETER_THICK_RATIO	TBM_DIAMETER_TUBULE_DIAMETER_RATIO	LUMEN_DIAMETER_TBM_DIAMETER_RATIO	TBM_DIAMETER_TE+LUMEN_DIAMETER_RATIO	TE_THICK_TBM_DIAMETER_RATIO	TE_DIAMETER_TE+LUMEN_DIAMETER_RATIO	TE_DIAMETER_TUBULE_DIAMETER_RATIO	LUMEN_DIAMETER_TE_DIAMETER_RATIO	TE_DIAMETER_TBM_DIAMETER_RATIO	TE_DIAMETER_TBM_THICK_RATIO	NUCLEI_TE_AREA_RATIO	NUCLEI_TE+LUMEN_AREA_RATIO	NUCLEI_TUBULE_AREA_RATIO	LUMEN_NUCLEI_AREA_RATIO	NUCLEI_TBM_AREA_RATIO	NUCLEI_LUMEN_CENT_DIS_MAX	NUCLEI_LUMEN_CENT_DIS_MIN	NUCLEI_LUMEN_CENT_DIS_AVE	NUCLEI_LUMEN_CENT_DIS_STDEV	NUCLEI_TBM_CENT_DIS_MAX	NUCLEI_TBM_CENT_DIS_MIN	NUCLEI_TBM_CENT_DIS_AVE	NUCLEI_TBM_CENT_DIS_STDEV	NUCLEI_LUMEN_BORDER_DISTANCE_MAX	NUCLEI_LUMEN_BORDER_DISTANCE_MIN	NUCLEI_LUMEN_BORDER_DISTANCE_AVE	NUCLEI_LUMEN_BORDER_DISTANCE_STDEV	NUCLEI_TBM_BORDER_DISTANCE_MAX	NUCLEI_TBM_BORDER_DISTANCE_MIN	NUCLEI_TBM_BORDER_DISTANCE_AVE	NUCLEI_TBM_BORDER_DISTANCE_STDEV	NUCLEI_TE_BORDER_DISTANCE_MAX	NUCLEI_TE_BORDER_DISTANCE_MIN	NUCLEI_TE_BORDER_DISTANCE_AVE	NUCLEI_TE_BORDER_DISTANCE_STDEV	NUCLEI_TE_BORDER_CENT_MAX	NUCLEI_TE_BORDER_CENT_MIN	NUCLEI_TE_BORDER_CENT_AVE	NUCLEI_TE_BORDER_CENT_STDEV
0	0_1528_100_[x=44005,y=49344,w=208,h=160].png	144.3760947	473.828713	618.2048077	245.4646016	228.3641114	34.0747776	19.57023398	11.17986421	16.77237018	1.37586582	0.95958584	1.115690833	0.097538026	5.757515039	0.47979292	2.633545636	0.593484304	19.80542734	6.237307959	11.26668471	2.073002022	11.17986421	0.47979292	4.033545511	1.453476203	17.0536957	4.318136279	8.925865881	2.136810822	0.808384356	0.737040226	0.714191667	0.714191667	0.937938634	0.931774422	0.910555057	0.88056671	0.93462652	0.916987859	0.89064829	0.877977402	3.281905594	1.581730769	1.700174825	0.23354088	0.76645912	0.518045013	0.481954987	0.397060325	0.369398796	1.074882564	10.02057549	0.057009581	15.0331702	2.360461841	0.571268806	0.666564361	4.245175803	0.857034729	0.13456894	0.157016904	0.070304005	8.125693686	0.082031687	1.914100632	0.343273788	0.294197558	1.941786367	4.184648644	5.160493276	0.14921249	0.071913704	0.055118914	7.203703704	0.236013986	3.708923553	1.256	2.308952757	1.031026876	4.877421745	0.90571448	2.756629785	1.632633804	1.035724133	0.2512	0.547391527	0.347906285	2.670292628	0.355250447	1.683594074	0.975498536	1.256	0.5024	0.822966965	0.317767948	3.768	0.561700276	1.798483872	1.407778913
0	0_1528_110_[x=43677,y=38444,w=412,h=460].png	454.8351795	3716.737917	4171.573097	280.1703936	3436.567524	398.9273037	53.08537969	5.775116211	50.27661289	1.43937876	0.95958584	1.156581719	0.100295313	29.91628101	0.47979292	11.9293811	3.674435561	51.91253296	10.55544424	24.90993967	6.93011358	5.775116211	0.47979292	1.991544018	0.696790752	50.13798833	8.156479639	22.60009442	6.990313364	0.796772037	0.777819496	0.747024066	0.667534585	0.932982687	0.918011541	0.918011541	0.895431127	0.932734919	0.915264529	0.915264529	0.887498518	8.171614872	7.55563263	0.615982242	0.109032053	0.890967947	0.075380724	0.924619276	0.067161809	0.823806138	0.08152623	4.993262573	0.021787199	43.4700048	10.31434347	0.108789204	0.114866851	0.484108619	0.947089635	0.224720651	0.237274956	0.02711441	4.012228312	0.028629191	8.287867954	0.59503374	0.563550288	0.193042585	20.78416178	25.86611954	0.116083069	0.107332643	0.095629944	0.702309396	0.877081021	26.34847326	9.614759987	15.6828842	4.638223105	10.78698546	3.708923553	6.473453956	1.918313275	23.18944742	5.739246613	12.23879432	4.573519899	7.758786874	0.561700276	3.161269224	1.97730309	6.404368509	0.2512	2.08428465	1.756687809	9.43923902	2.383092445	5.214057899	1.906146692
0	0_1528_382_[x=41741,y=39096,w=344,h=360].png	318.0312576	4411.484772	4729.516029	1315.538821	3095.945951	226.7865754	60.12053589	27.36579761	57.40446272	1.37586582	0.95958584	1.112692822	0.097608517	24.48704009	0.47979292	8.285867609	2.763889462	59.69864438	35.02488315	46.19836924	3.816149765	27.36579761	0.47979292	7.898581458	3.504620857	57.21856567	33.10571147	43.97014214	3.775598698	0.700992276	0.646126579	0.577431158	0.537699157	0.948676441	0.942863402	0.940442647	0.926142219	0.947151051	0.938864678	0.938864678	0.924089815	13.87123016	9.734722222	4.136507937	0.067243933	0.932756067	0.298207721	0.701792279	0.278155061	0.654601006	0.424923058	24.59420703	0.0185077	51.59057523	7.446680205	0.455182197	0.476718992	3.302707562	0.954822872	0.137820921	0.144341872	0.022885122	19.88987386	0.023967924	6.022293371	0.426570321	0.407299099	1.117562495	17.79754953	22.00700824	0.073252757	0.051408219	0.047951328	5.800779076	0.713095238	15.68140018	6.856425658	10.91811981	2.82550878	9.696450155	3.931901932	6.469300867	1.939742183	12.12544247	4.44418167	7.935725757	2.530669869	7.52762201	0.2512	3.549064125	2.321218265	6.178703035	0.2512	2.567482844	2.01209149	8.293405187	2.622604995	5.230310545	1.868841374
0	0_962_2146_[x=103709,y=30999,w=700,h=360]_sup_2.png	575.3813631	58.79847099	634.1798341	43.31435921	15.48411178	0	23.22381985	5.459635564	6.077068845	12.99616917	6.064878945	8.364908656	0.872293603	3.032439473	0.433205639	1.5411696	0.445249346	21.01358477	6.064878945	15.99933696	1.72567811	5.459635564	1.299616917	3.818762008	0.566672403	6.064878945	2.166028195	4.525649031	0.520393837	0.841363407	0.841363407	0.720294709	0.720294709	0.926383308	0.926383308	0.907108543	0.887985131	0.925498314	0.878492442	0.800073423	0.800073423	0.102190434	0.026911042	0.075279392	0.907284231	0.092715769	0.736657918	0.263342082	0.068299805	0.024415964	2.797342193	0.652683226	0.360186598	0.726495542	0.184242251	0.23508775	0.898399492	3.542527419	0.261673957	0.06636159	0.253604104	0.559605149	0.42009576	2.138558818	0.118586453	0.498997058	0.130574535	1.8004104	0.233333333	0.362519138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0_1583_630_[x=34838,y=21035,w=340,h=444].png	3384.683438	2108.240751	5492.924189	416.4651374	1691.775613	747.5741064	61.43706035	10.05960729	23.17392421	23.00026886	5.748347021	10.5987674	1.861765142	14.34260204	0.479028918	5.93094202	1.639347378	58.92055697	10.05960729	35.88524897	5.937507074	10.05960729	0.479028918	4.115312242	1.255568672	22.51435917	8.143491614	15.87722893	1.157537017	0.731750522	0.688295972	0.653387089	0.573913898	0.936567023	0.922354745	0.918237215	0.905172987	0.947850104	0.932724785	0.927955709	0.909970556	0.622876789	0.499832745	0.123044044	0.616189724	0.383810276	0.197541546	0.802458454	0.075818475	0.307991801	0.246170434	0.949129923	0.172514234	2.186473516	0.559587903	0.163738422	0.434091663	1.69612302	0.377197803	0.096536878	0.255931709	0.374371246	0.437369117	0.992506433	0.25786403	0.618911234	0.233451958	0.701379517	0.623584104	1.353233022	0.441887269	0.354596175	0.136097656	0.557088767	0.220869727	35.2443164	2.142836139	10.89877829	7.916249523	23.51107876	0.709369523	10.28561517	6.210497403	33.87935771	0.5016	8.564971574	8.081251227	20.70125746	0	8.044444846	5.75272179	14.80569925	0	3.191181868	3.823007311	15.90356795	1.064054284	5.299473682	3.598632945
0	0_1695_1313_[x=64124,y=10564,w=200,h=169].png	696.4845914	261.538365	958.0229564	43.05079996	218.487565	93.2027628	27.26857488	2.61333175	13.17870583	10.51699164	5.290328143	7.093592157	0.533093945	7.359056329	0.480938922	3.064482382	1.074353567	27.50173463	10.24468986	21.86600178	2.351091633	2.61333175	0.480938922	1.209778529	0.234989861	13.29293911	9.13783952	11.46405219	0.543288404	0.773501004	0.773501004	0.613015155	0.323901871	0.931922931	0.922647983	0.887458386	0.887458386	0.943541236	0.892378546	0.854843181	0.854843181	0.375512062	0.313700501	0.061811561	0.727001985	0.272998015	0.164606061	0.835393939	0.044937128	0.228060887	0.197040046	0.368407387	0.260137986	1.857832469	0.432007129	0.095836756	0.198299574	0.852780804	0.483292797	0.112381465	0.232532877	0.385681749	0.248486624	0.798029167	0.291383932	0.558405083	0.269873155	0.355117781	0.699730168	1.037423095	0.426581544	0.356363636	0.097286565	0.461904762	0.133818844	3.283070331	2.8487918	3.068490945	0.177330425	11.90936807	8.682537208	10.62227029	1.395841201	0.5036	0.2518	0.370499658	0.103300031	8.221183238	6.914191418	7.736232272	0.584396612	3.032073515	0.5036	1.514291172	1.092749032	6.590236673	2.280145978	4.196055032	1.791792203
0	0_1583_677_[x=24804,y=15593,w=233,h=203].png	957.7251446	506.0356488	1463.760793	64.473156	441.5624928	169.0140197	37.98395391	2.874173511	22.75242132	11.91231116	5.269318103	7.962771799	0.927809088	8.513270068	0.479028918	3.720859105	1.096288371	37.5720642	10.49279755	27.96831201	3.573961948	2.874173511	0.479028918	1.213720756	0.288568137	22.94754943	21.55630133	22.35300349	0.249366525	0.744985388	0.625425946	0.532104864	0.219753528	0.91688351	0.91688351	0.905337744	0.877506058	0.975218552	0.961229705	0.899728011	0.899728011	0.528372521	0.461053461	0.06731906	0.654290748	0.345709252	0.127408328	0.872591672	0.044046238	0.301663014	0.146011396	0.360951385	0.209635148	2.857349412	0.467281896	0.075668097	0.126323852	0.772448897	0.599000867	0.097958709	0.163536841	0.313614301	0.241277572	0.523562349	0.312354089	0.37416985	0.224128064	0.337610987	0.714661492	1.069134001	0.382763533	0.333996271	0.115465601	0.381466319	0.176474452	7.52817884	1.910035895	3.722965483	2.07187179	13.21646993	5.961447945	10.74951234	2.579020712	5.608058488	0.2508	1.614605602	2.049121275	9.427544978	3.484224953	7.514961966	2.076662022	2.582144039	1.525556843	2.010228623	0.400928468	7.080382057	3.411248804	5.155173465	1.434070386
1	0_3000_1389_[x=17745,y=20071,w=184,h=280].png	404.5417112	918.9125874	1323.454299	0	918.9125874	433.5036877	25.47783786	0	22.19913281	5.329051616	0.866411278	2.37344879	0.553676887	22.09348759	14.29578609	18.44614902	1.149024193	24.70861354	0.866411278	12.46210809	3.547095474	0	0	0	0	22.09348759	14.29578609	18.44614902	1.149024193	1	1	1	1	0.855842404	0.799268172	0.771477902	0.743233544	0.959971405	0.946136635	0.946136635	0.910721097	2.271490336	2.271490336	0	0.305671085	0.694328915	0	1	0	0.694328915	0	0	0.093157387	9.353112192	7.771875721	0	0	0	0.871311488	0.724007631	0.830940072	0.209164202	0	0.240056747	3.461431856	0.99524102	0.867164934	0	4.145857308	9.30860092	0.471757264	0.471757264	0.327554709	0	1.071592065	0	0	0	0	12.09765058	3.628940803	6.218339009	2.441461523	0	0	0	0	7.089362489	1.134044001	2.998130041	1.862683413	5.601764135	0.2268088	1.875161059	1.85539807	10.15586898	2.091073817	4.842981789	2.413609422
0	0_3000_138_[x=69360,y=18746,w=440,h=484].png	777.2921231	5694.0892	6471.381323	166.7757156	5527.313484	1366.614331	74.86863806	8.867934762	68.49835492	10.39693533	0.866411278	2.470456437	1.294491323	48.47757777	0.433205639	24.02799852	4.834289101	76.16406045	0.866411278	38.30966962	11.60039402	8.867934762	0.433205639	4.296899139	1.262133666	69.49393813	30.75760037	53.4940682	4.773549413	0.734572826	0.690841222	0.622337354	0.580835434	0.91975245	0.907135671	0.885687592	0.86408726	0.943837432	0.934413525	0.934413525	0.914884775	7.325545996	7.110986102	0.214559894	0.120112243	0.879887757	0.02928927	0.97071073	0.02577127	0.854116487	0.030173016	3.589593659	0.032997214	27.72700376	9.726137309	0.118446588	0.129462011	0.369066727	0.914913864	0.32093543	0.350782125	0.138869033	0.852937378	0.151783723	2.311065497	0.707718862	0.647501798	0.182928586	4.66267955	19.62292354	0.24724748	0.240005782	0.211178149	0.122035685	1.758173395	48.51164007	12.58124586	27.84872189	9.364971261	22.52155425	2.02863958	10.60262034	5.482907694	44.83477056	9.37628787	23.76722803	9.315144517	18.51515684	0.320756081	6.39353539	5.276362442	14.64278738	0	4.03176701	3.912969773	19.09778583	0.907235201	8.020735471	4.219240935
0	0_3000_1390_[x=17569,y=19839,w=204,h=396].png	211.5304573	1058.938342	1270.4688	0.205768927	1058.732573	364.6225393	20.75599537	0.433205639	18.58425681	1.242271003	0.866411278	1.027982179	0.089902007	18.62784247	4.332056389	11.66529665	1.310602449	20.49124898	6.064878945	13.7475434	1.308233296	0.433205639	0.433205639	0.433205639	0	18.62784247	4.332056389	11.67380769	1.307171471	1	1	1	1	0.940201126	0.927631464	0.920858928	0.895547446	0.937232952	0.928499103	0.918163906	0.903846961	5.006079767	5.005107004	0.000972763	0.166497955	0.833502045	0.000194316	0.999805684	0.000161963	0.833340082	0.000194354	0.421413569	0.049527	18.07838422	11.34776155	0.02087135	0.023310356	0.037136273	0.895368132	0.562020585	0.627697775	0.059851189	0.34872072	0.066845342	9.390299399	1.0023453	0.89746804	0.023255814	14.99499097	18.12078346	0.344395316	0.344328394	0.286998421	0.000564334	1.723735409	45.00711903	4.719585404	18.54949341	11.12533614	8.857166791	3.862414689	5.646455767	1.55207249	38.90878359	1.951083073	14.90048575	10.19657255	6.27322145	1.01431979	2.293600219	1.438720289	5.071598951	0.2268088	1.244303642	1.338024399	7.794438774	2.586018202	4.547987564	1.499585299
